Provincias;Españoles/Extranjeros;Sexo;Edad (año a año);Año;Total
04 Almería;TOTAL;Hombres;16 años;2019;3.700
04 Almería;TOTAL;Hombres;17 años;2019;3.973
04 Almería;TOTAL;Hombres;18 años;2019;3.968
04 Almería;TOTAL;Hombres;19 años;2019;4.143
04 Almería;TOTAL;Hombres;20 años;2019;4.026
04 Almería;TOTAL;Hombres;21 años;2019;4.145
04 Almería;TOTAL;Hombres;22 años;2019;4.257
04 Almería;TOTAL;Hombres;23 años;2019;4.343
04 Almería;TOTAL;Hombres;24 años;2019;4.478
04 Almería;TOTAL;Hombres;25 años;2019;4.477
04 Almería;TOTAL;Hombres;26 años;2019;4.849
04 Almería;TOTAL;Hombres;27 años;2019;4.742
04 Almería;TOTAL;Hombres;28 años;2019;5.075
04 Almería;TOTAL;Hombres;29 años;2019;5.045
04 Almería;TOTAL;Hombres;30 años;2019;5.242
04 Almería;TOTAL;Hombres;31 años;2019;5.349
04 Almería;TOTAL;Hombres;32 años;2019;5.369
04 Almería;TOTAL;Hombres;33 años;2019;5.410
04 Almería;TOTAL;Hombres;34 años;2019;5.623
04 Almería;TOTAL;Hombres;35 años;2019;5.812
04 Almería;TOTAL;Hombres;36 años;2019;6.191
04 Almería;TOTAL;Hombres;37 años;2019;6.356
04 Almería;TOTAL;Hombres;38 años;2019;6.702
04 Almería;TOTAL;Hombres;39 años;2019;6.724
04 Almería;TOTAL;Hombres;40 años;2019;6.871
04 Almería;TOTAL;Hombres;41 años;2019;6.931
04 Almería;TOTAL;Hombres;42 años;2019;6.898
04 Almería;TOTAL;Hombres;43 años;2019;6.661
04 Almería;TOTAL;Hombres;44 años;2019;6.334
04 Almería;TOTAL;Hombres;45 años;2019;6.122
04 Almería;TOTAL;Hombres;46 años;2019;6.111
04 Almería;TOTAL;Hombres;47 años;2019;5.769
04 Almería;TOTAL;Hombres;48 años;2019;5.729
04 Almería;TOTAL;Hombres;49 años;2019;5.702
04 Almería;TOTAL;Hombres;50 años;2019;5.536
04 Almería;TOTAL;Hombres;51 años;2019;5.492
04 Almería;TOTAL;Hombres;52 años;2019;5.376
04 Almería;TOTAL;Hombres;53 años;2019;5.136
04 Almería;TOTAL;Hombres;54 años;2019;5.147
04 Almería;TOTAL;Hombres;55 años;2019;4.935
04 Almería;TOTAL;Hombres;56 años;2019;4.638
04 Almería;TOTAL;Hombres;57 años;2019;4.528
04 Almería;TOTAL;Hombres;58 años;2019;4.532
04 Almería;TOTAL;Hombres;59 años;2019;4.400
04 Almería;TOTAL;Hombres;60 años;2019;4.306
04 Almería;TOTAL;Hombres;61 años;2019;4.002
04 Almería;TOTAL;Hombres;62 años;2019;3.670
04 Almería;TOTAL;Hombres;63 años;2019;3.578
04 Almería;TOTAL;Hombres;64 años;2019;3.398
04 Almería;TOTAL;Hombres;65 años;2019;3.373
04 Almería;TOTAL;Hombres;66 años;2019;3.290
04 Almería;TOTAL;Hombres;67 años;2019;3.122
04 Almería;TOTAL;Hombres;68 años;2019;2.787
04 Almería;TOTAL;Hombres;69 años;2019;2.789
04 Almería;TOTAL;Hombres;70 años;2019;2.967
04 Almería;TOTAL;Hombres;71 años;2019;2.688
04 Almería;TOTAL;Hombres;72 años;2019;2.506
04 Almería;TOTAL;Hombres;73 años;2019;2.420
04 Almería;TOTAL;Hombres;74 años;2019;2.194
04 Almería;TOTAL;Hombres;75 años;2019;2.053
04 Almería;TOTAL;Hombres;76 años;2019;1.768
04 Almería;TOTAL;Hombres;77 años;2019;1.513
04 Almería;TOTAL;Hombres;78 años;2019;1.842
04 Almería;TOTAL;Hombres;79 años;2019;1.051
04 Almería;TOTAL;Hombres;80 años;2019;1.217
04 Almería;TOTAL;Hombres;81 años;2019;1.359
04 Almería;TOTAL;Hombres;82 años;2019;1.345
04 Almería;TOTAL;Hombres;83 años;2019;1.137
04 Almería;TOTAL;Hombres;84 años;2019;1.080
04 Almería;TOTAL;Hombres;85 años;2019;957
04 Almería;TOTAL;Hombres;86 años;2019;820
04 Almería;TOTAL;Hombres;87 años;2019;706
04 Almería;TOTAL;Hombres;88 años;2019;578
04 Almería;TOTAL;Hombres;89 años;2019;475
04 Almería;TOTAL;Hombres;90 años;2019;383
04 Almería;TOTAL;Hombres;91 años;2019;310
04 Almería;TOTAL;Hombres;92 años;2019;232
04 Almería;TOTAL;Hombres;93 años;2019;161
04 Almería;TOTAL;Hombres;94 años;2019;128
04 Almería;TOTAL;Hombres;95 años;2019;93
04 Almería;TOTAL;Hombres;96 años;2019;58
04 Almería;TOTAL;Hombres;97 años;2019;32
04 Almería;TOTAL;Hombres;98 años;2019;27
04 Almería;TOTAL;Hombres;99 años;2019;27
04 Almería;TOTAL;Hombres;100 años y más;2019;45
01 Araba/Álava;TOTAL;Hombres;0 años;2019;1.383
01 Araba/Álava;TOTAL;Hombres;1 año;2019;1.524
01 Araba/Álava;TOTAL;Hombres;2 años;2019;1.598
01 Araba/Álava;TOTAL;Hombres;3 años;2019;1.721
01 Araba/Álava;TOTAL;Hombres;4 años;2019;1.736
01 Araba/Álava;TOTAL;Hombres;5 años;2019;1.705
01 Araba/Álava;TOTAL;Hombres;6 años;2019;1.809
01 Araba/Álava;TOTAL;Hombres;7 años;2019;1.867
01 Araba/Álava;TOTAL;Hombres;8 años;2019;1.882
01 Araba/Álava;TOTAL;Hombres;9 años;2019;1.816
01 Araba/Álava;TOTAL;Hombres;10 años;2019;1.815
01 Araba/Álava;TOTAL;Hombres;11 años;2019;1.649
01 Araba/Álava;TOTAL;Hombres;12 años;2019;1.691
01 Araba/Álava;TOTAL;Hombres;13 años;2019;1.588
01 Araba/Álava;TOTAL;Hombres;14 años;2019;1.662
01 Araba/Álava;TOTAL;Hombres;15 años;2019;1.617
01 Araba/Álava;TOTAL;Hombres;16 años;2019;1.552
01 Araba/Álava;TOTAL;Hombres;17 años;2019;1.530
01 Araba/Álava;TOTAL;Hombres;18 años;2019;1.598
01 Araba/Álava;TOTAL;Hombres;19 años;2019;1.480
01 Araba/Álava;TOTAL;Hombres;20 años;2019;1.425
01 Araba/Álava;TOTAL;Hombres;21 años;2019;1.437
01 Araba/Álava;TOTAL;Hombres;22 años;2019;1.465
01 Araba/Álava;TOTAL;Hombres;23 años;2019;1.387
01 Araba/Álava;TOTAL;Hombres;24 años;2019;1.433
01 Araba/Álava;TOTAL;Hombres;25 años;2019;1.450
01 Araba/Álava;TOTAL;Hombres;26 años;2019;1.532
01 Araba/Álava;TOTAL;Hombres;27 años;2019;1.498
01 Araba/Álava;TOTAL;Hombres;28 años;2019;1.534
01 Araba/Álava;TOTAL;Hombres;29 años;2019;1.627
01 Araba/Álava;TOTAL;Hombres;30 años;2019;1.721
01 Araba/Álava;TOTAL;Hombres;31 años;2019;1.711
01 Araba/Álava;TOTAL;Hombres;32 años;2019;1.872
01 Araba/Álava;TOTAL;Hombres;33 años;2019;1.980
01 Araba/Álava;TOTAL;Hombres;34 años;2019;2.112
01 Araba/Álava;TOTAL;Hombres;35 años;2019;2.098
01 Araba/Álava;TOTAL;Hombres;36 años;2019;2.262
01 Araba/Álava;TOTAL;Hombres;37 años;2019;2.472
01 Araba/Álava;TOTAL;Hombres;38 años;2019;2.570
01 Araba/Álava;TOTAL;Hombres;39 años;2019;2.744
01 Araba/Álava;TOTAL;Hombres;40 años;2019;2.869
01 Araba/Álava;TOTAL;Hombres;41 años;2019;2.945
01 Araba/Álava;TOTAL;Hombres;42 años;2019;3.059
01 Araba/Álava;TOTAL;Hombres;43 años;2019;2.997
01 Araba/Álava;TOTAL;Hombres;44 años;2019;2.881
01 Araba/Álava;TOTAL;Hombres;45 años;2019;2.881
01 Araba/Álava;TOTAL;Hombres;46 años;2019;2.801
01 Araba/Álava;TOTAL;Hombres;47 años;2019;2.821
01 Araba/Álava;TOTAL;Hombres;48 años;2019;2.650
01 Araba/Álava;TOTAL;Hombres;49 años;2019;2.668
01 Araba/Álava;TOTAL;Hombres;50 años;2019;2.733
01 Araba/Álava;TOTAL;Hombres;51 años;2019;2.632
01 Araba/Álava;TOTAL;Hombres;52 años;2019;2.578
01 Araba/Álava;TOTAL;Hombres;53 años;2019;2.519
01 Araba/Álava;TOTAL;Hombres;54 años;2019;2.588
01 Araba/Álava;TOTAL;Hombres;55 años;2019;2.422
01 Araba/Álava;TOTAL;Hombres;56 años;2019;2.302
01 Araba/Álava;TOTAL;Hombres;57 años;2019;2.327
01 Araba/Álava;TOTAL;Hombres;58 años;2019;2.223
01 Araba/Álava;TOTAL;Hombres;59 años;2019;2.240
01 Araba/Álava;TOTAL;Hombres;60 años;2019;2.143
01 Araba/Álava;TOTAL;Hombres;61 años;2019;2.102
01 Araba/Álava;TOTAL;Hombres;62 años;2019;2.064
01 Araba/Álava;TOTAL;Hombres;63 años;2019;1.917
01 Araba/Álava;TOTAL;Hombres;64 años;2019;1.887
01 Araba/Álava;TOTAL;Hombres;65 años;2019;1.875
01 Araba/Álava;TOTAL;Hombres;66 años;2019;1.906
01 Araba/Álava;TOTAL;Hombres;67 años;2019;1.677
01 Araba/Álava;TOTAL;Hombres;68 años;2019;1.674
01 Araba/Álava;TOTAL;Hombres;69 años;2019;1.787
01 Araba/Álava;TOTAL;Hombres;70 años;2019;1.796
01 Araba/Álava;TOTAL;Hombres;71 años;2019;1.650
01 Araba/Álava;TOTAL;Hombres;72 años;2019;1.581
01 Araba/Álava;TOTAL;Hombres;73 años;2019;1.585
01 Araba/Álava;TOTAL;Hombres;74 años;2019;1.551
01 Araba/Álava;TOTAL;Hombres;75 años;2019;1.427
01 Araba/Álava;TOTAL;Hombres;76 años;2019;1.168
01 Araba/Álava;TOTAL;Hombres;77 años;2019;1.080
01 Araba/Álava;TOTAL;Hombres;78 años;2019;1.141
01 Araba/Álava;TOTAL;Hombres;79 años;2019;825
01 Araba/Álava;TOTAL;Hombres;80 años;2019;868
01 Araba/Álava;TOTAL;Hombres;81 años;2019;792
01 Araba/Álava;TOTAL;Hombres;82 años;2019;910
01 Araba/Álava;TOTAL;Hombres;83 años;2019;833
01 Araba/Álava;TOTAL;Hombres;84 años;2019;761
01 Araba/Álava;TOTAL;Hombres;85 años;2019;730
01 Araba/Álava;TOTAL;Hombres;86 años;2019;624
01 Araba/Álava;TOTAL;Hombres;87 años;2019;549
01 Araba/Álava;TOTAL;Hombres;88 años;2019;460
01 Araba/Álava;TOTAL;Hombres;89 años;2019;340
01 Araba/Álava;TOTAL;Hombres;90 años;2019;313
01 Araba/Álava;TOTAL;Hombres;91 años;2019;226
01 Araba/Álava;TOTAL;Hombres;92 años;2019;164
01 Araba/Álava;TOTAL;Hombres;93 años;2019;129
01 Araba/Álava;TOTAL;Hombres;94 años;2019;101
01 Araba/Álava;TOTAL;Hombres;95 años;2019;69
01 Araba/Álava;TOTAL;Hombres;96 años;2019;33
01 Araba/Álava;TOTAL;Hombres;97 años;2019;25
01 Araba/Álava;TOTAL;Hombres;98 años;2019;16
01 Araba/Álava;TOTAL;Hombres;99 años;2019;13
01 Araba/Álava;TOTAL;Hombres;100 años y más;2019;18
33 Asturias;TOTAL;Hombres;0 años;2019;2.913
33 Asturias;TOTAL;Hombres;1 año;2019;3.162
33 Asturias;TOTAL;Hombres;2 años;2019;3.241
33 Asturias;TOTAL;Hombres;3 años;2019;3.461
33 Asturias;TOTAL;Hombres;4 años;2019;3.538
33 Asturias;TOTAL;Hombres;5 años;2019;3.529
33 Asturias;TOTAL;Hombres;6 años;2019;4.018
33 Asturias;TOTAL;Hombres;7 años;2019;4.086
33 Asturias;TOTAL;Hombres;8 años;2019;3.973
33 Asturias;TOTAL;Hombres;9 años;2019;4.337
33 Asturias;TOTAL;Hombres;10 años;2019;4.257
33 Asturias;TOTAL;Hombres;11 años;2019;4.249
33 Asturias;TOTAL;Hombres;12 años;2019;4.216
33 Asturias;TOTAL;Hombres;13 años;2019;4.185
33 Asturias;TOTAL;Hombres;14 años;2019;4.139
33 Asturias;TOTAL;Hombres;15 años;2019;4.007
33 Asturias;TOTAL;Hombres;16 años;2019;3.842
33 Asturias;TOTAL;Hombres;17 años;2019;4.035
33 Asturias;TOTAL;Hombres;18 años;2019;4.040
33 Asturias;TOTAL;Hombres;19 años;2019;4.007
33 Asturias;TOTAL;Hombres;20 años;2019;3.814
33 Asturias;TOTAL;Hombres;21 años;2019;3.961
33 Asturias;TOTAL;Hombres;22 años;2019;3.862
33 Asturias;TOTAL;Hombres;23 años;2019;3.912
33 Asturias;TOTAL;Hombres;24 años;2019;3.853
33 Asturias;TOTAL;Hombres;25 años;2019;4.104
33 Asturias;TOTAL;Hombres;26 años;2019;4.196
33 Asturias;TOTAL;Hombres;27 años;2019;4.294
33 Asturias;TOTAL;Hombres;28 años;2019;4.207
33 Asturias;TOTAL;Hombres;29 años;2019;4.393
33 Asturias;TOTAL;Hombres;30 años;2019;4.685
33 Asturias;TOTAL;Hombres;31 años;2019;4.914
33 Asturias;TOTAL;Hombres;32 años;2019;5.312
33 Asturias;TOTAL;Hombres;33 años;2019;5.572
33 Asturias;TOTAL;Hombres;34 años;2019;5.659
33 Asturias;TOTAL;Hombres;35 años;2019;6.175
33 Asturias;TOTAL;Hombres;36 años;2019;6.295
33 Asturias;TOTAL;Hombres;37 años;2019;6.805
33 Asturias;TOTAL;Hombres;38 años;2019;7.262
33 Asturias;TOTAL;Hombres;39 años;2019;7.596
